"businessName","inspectionId","license","facilityType","risk","inspectionDate","inspectionType","pastFail","timeSinceLast","licenseStartDate","expirationDate","address","city","state","zipCode","ward","precinct","policeDistrict","licenseDescription","location","ageAtInspection","consumptionOnPremises","tobaccoRetail","limitedLicense","packageGoods","outdoorPatio","placeOfAmusement","tavern","retailFoodEstablishment","catersLiquorLicense","fillingStation","addressCount","wardCount","districtCount","foodType","burglary","sanitation","garbage","rodents","pastResponse"
"25 DEGREES","1138954","2104463","Restaurant","Risk 1 (High)",2013-05-20,"Canvass",0,1.14520547945205,2012-02-16,2014-02-15,"736 N CLARK ST","CHICAGO","IL","60610","42","w_42_p_57","18","Retail Food Establishment","(41.89593966860199, -87.63137866092413)",1.71780821917808,0,0,0,0,0,0,1,0,0,0,1,1,1,"unknown",59.6642995601872,17.5844985983333,1.29736319505321,15.1997081049619,0
"2 ASIAN BROTHERS","1098820","2098868","Restaurant","Risk 1 (High)",2013-02-05,"Canvass",0,1.6027397260274,2011-07-06,2013-07-15,"3222 W FOSTER AVE 1","CHICAGO","IL","60625","39","w_39_p_43","17","Retail Food Establishment","(41.97584741234359, -87.70960355775853)",1.58915525114155,0,0,0,0,0,0,0,0,0,0,1,1,1,"asian",3.54498549539768,40.6291784611827,2.05970418664285,12.7032674265038,1
"312 CHICAGO","1345460","1803058","Restaurant","Risk 1 (High)",2013-08-16,"Canvass",0,1.95890410958904,2012-09-16,2014-09-15,"136 N LA SALLE ST 1-2","CHICAGO","IL","60602","42","w_42_p_9","1","Retail Food Establishment","(41.88415863562356, -87.63257719833739)",6.14246575342466,1,0,0,0,0,0,0,0,1,0,1,1,1,"unknown",15.7372778975785,31.4795598099422,1.07757392804382e-06,9.24720679995236,1
"35TH STREET REDHOTS","1324209","1594380","Restaurant","Risk 2 (Medium)",2012-12-05,"Canvass",0,1.55890410958904,2012-06-16,2014-06-15,"500 W 35TH ST","CHICAGO","IL","60616","11","w_11_p_39","9","Retail Food Establishment","(41.83095443385002, -87.63886689866528)",5.30970319634703,0,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",7.88578774985679,9.42662592043188,25.8689466502346,7.5060765418427,0
"43RD DAN RYAN CITGO","529301","61690","Grocery Store","Risk 3 (Low)",2011-09-15,"Canvass",0,2,2010-01-16,2012-01-15,"4300 S WENTWORTH AVE  1ST","CHICAGO","IL","60609","3","w_3_p_18","9","Retail Food Establishment","(41.81639453372854, -87.6313400897933)",4.58070776255708,0,1,0,0,0,0,0,0,0,1,1,1,1,"mart",14.352132489875,12.6503206398106,10.7541275859187,16.2419972744859,0
"47TH & CALIFORNIA SHELL","509408","1382605","Grocery Store","Risk 3 (Low)",2011-11-04,"Canvass",0,2,2011-04-16,2013-04-15,"4658 S CALIFORNIA AVE","CHICAGO","IL","60632","12","w_12_p_27","9","Retail Food Establishment","(41.80836870417712, -87.69435412866963)",4.47397260273973,0,1,1,0,0,0,0,0,0,1,1,1,1,"mart",21.3554792941993,15.3270041288289,14.1847653729404,25.3653183729917,0
"55TH GAS STATION INC.","509379","1494344","Grocery Store","Risk 3 (Low)",2011-10-20,"Canvass",0,2,2011-06-16,2013-06-15,"5456 S PULASKI RD","CHICAGO","IL","60632","23","w_23_p_6","8","Retail Food Establishment","(41.79335091300274, -87.72331142877019)",4.18082191780822,0,1,1,0,0,0,0,0,0,1,1,1,1,"unknown",8.16980507345257,17.5126610434628,22.5071343170365,40.6659632591054,0
"57 RIB HOUSE","1154807","1543160","Restaurant","Risk 1 (High)",2013-01-15,"Canvass",0,0.893150684931507,2011-09-16,2013-09-15,"9709 S HALSTED ST","CHICAGO","IL","60628","21","w_21_p_27","22","Retail Food Establishment","(41.717434860214254, -87.64295571791872)",6.16986301369863,0,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",29.4793198875386,37.5181636429377,27.4836017873622,14.9087412141977,1
"65 ASIAN KITCHKEN","1114974","1474110","Restaurant","Risk 1 (High)",2013-08-15,"Canvass",0,1.01917808219178,2012-04-16,2014-04-15,"111 W JACKSON BLVD","CHICAGO","IL","60604","2","w_2_p_49","1","Retail Food Establishment","(41.87803442833617, -87.63117140697915)",6.25479452054795,0,0,0,0,0,0,0,0,0,0,1,1,1,"asian",9.41504112490537,17.7452722164899,0.000261146377996522,18.0270506282182,0
"65 ASIAN KITCHKEN","1114401","1474110","Restaurant","Risk 1 (High)",2012-08-08,"Canvass",0,1.34246575342466,2012-04-16,2014-04-15,"111 W JACKSON BLVD","CHICAGO","IL","60604","2","w_2_p_49","1","Retail Food Establishment","(41.87803442833617, -87.63117140697915)",5.23561643835616,0,0,0,0,0,0,0,0,0,0,1,1,1,"asian",33.7460353287529,12.1995643666993,2.697769522977,83.3564289684509,0
"67TH ONE STOP FOOD & LIQUOR, INC.","1234383","15187","Grocery Store","Risk 2 (Medium)",2012-07-31,"Canvass",0,0.167123287671233,2011-07-16,2013-07-15,"1508 E 67TH ST 1ST","CHICAGO","IL","60637","5","w_5_p_5","3","Retail Food Establishment","(41.77342281569598, -87.58833686934243)",4.96164383561644,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",33.9376781216762,14.6476641927449,4.47945054361585,12.8586311365137,1
"6 DEGREES","1300296","1592201","Restaurant","Risk 1 (High)",2012-11-02,"Canvass",0,1.84383561643836,2011-11-16,2013-11-15,"1935 N DAMEN AVE","CHICAGO","IL","60647","32","w_32_p_31","14","Retail Food Establishment","(41.916909503346645, -87.67744942668926)",4.96700913242009,1,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",62.7806176803773,18.9285833992766,10.2291892692765,34.6062751195675,0
"7-Eleven","1184377","1647046","Grocery Store","Risk 2 (Medium)",2012-06-08,"Canvass",0,2,2011-05-16,2013-05-15,"567 W LAKE ST","CHICAGO","IL","60661","42","w_42_p_21","1","Retail Food Establishment","(41.88559428960742, -87.64252600441937)",5.06849315068493,0,1,0,0,0,0,0,0,0,0,5,5,5,"mart",21.3681093318124,4.27077589771714,10.8470824690676,0.470113542767295,0
"7-Eleven","586269","1646231","Grocery Store","Risk 2 (Medium)",2011-12-29,"Canvass",0,2,2010-09-16,2012-09-15,"2401 N MILWAUKEE AVE","CHICAGO","IL","60647","35","w_35_p_30","14","Retail Food Establishment","(41.92489740229432, -87.70036657187526)",4.12054794520548,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",24.8480680371913,6.6734314752271,12.332965300955,37.8704849803564,0
"7 ELEVEN","1092530","1248291","Grocery Store","Risk 1 (High)",2013-08-05,"Canvass",0,2,2013-04-16,2015-04-15,"2757 N PINE GROVE AVE","CHICAGO","IL","60614","43","w_43_p_53","19","Retail Food Establishment","(41.93264872511651, -87.64115056825374)",6.22739726027397,0,1,0,1,0,0,0,0,0,0,2,2,2,"mart",3.40726108007807,30.2695373857999,12.7057499514125,48.418604793978,0
"7 - ELEVEN","1292369","1170388","Grocery Store","Risk 2 (Medium)",2013-03-06,"Canvass",0,2,2012-04-16,2014-04-15,"343 S DEARBORN ST","CHICAGO","IL","60604","2","w_2_p_49","1","Retail Food Establishment","(41.877146786216336, -87.62912123316899)",5.81107305936073,0,1,0,1,0,0,0,0,0,0,5,5,4,"mart",17.7479030309573,26.6244586361082,0.00857257891162092,35.641096931454,0
"7 - ELEVEN","604460","1121437","Grocery Store","Risk 2 (Medium)",2011-10-12,"Canvass",0,1.33698630136986,2009-12-16,2011-12-15,"5316 N MILWAUKEE AVE  M","CHICAGO","IL","60630","45","w_45_p_32","16","Retail Food Establishment","(41.97693688769671, -87.76907431197014)",4.6546803652968,0,1,0,1,0,0,0,0,0,0,5,5,4,"mart",13.2626480104311,16.6029729894121,25.9640477162253,17.3328671635373,0
"7 - ELEVEN","1188217","1848194","Grocery Store","Risk 2 (Medium)",2012-05-17,"Canvass",0,1.04109589041096,2010-11-16,2012-11-15,"5789 N MILWAUKEE AVE 1","CHICAGO","IL","60646","45","w_45_p_3","16","Retail Food Establishment","(41.986905524452354, -87.77782278908025)",4.55342465753425,0,1,0,1,0,0,0,0,0,0,5,5,4,"mart",8.97103490222125,15.6391521925292,21.5159920470336,0.0466841796044505,1
"7-ELEVEN","1234704","1516266","Grocery Store","Risk 2 (Medium)",2012-08-17,"Canvass",0,1.57534246575342,2011-04-16,2013-04-15,"2323 W LAWRENCE AVE","CHICAGO","IL","60625","47","w_47_p_20","19","Retail Food Establishment","(41.96852656709918, -87.68739289703984)",5.26027397260274,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",32.1987431021547,20.2405581329182,27.941829654295,44.1078609143158,0
"7-ELEVEN","1184422","1816833","Restaurant","Risk 1 (High)",2012-06-27,"Canvass",0,0.534246575342466,2012-05-16,2014-05-15,"833 W VAN BUREN ST 1","CHICAGO","IL","60607","2","w_2_p_6","12","Retail Food Establishment","(41.876543846685756, -87.64847222242669)",5.02739726027397,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",20.4642427278446,13.0149826314723,0.224345958789557,0.794229391150614,0
"7-ELEVEN","1188214","1766607","Grocery Store","Risk 2 (Medium)",2012-04-26,"Canvass",0,1.18904109589041,2011-02-16,2013-02-15,"6001 N WESTERN AVE 1","CHICAGO","IL","60659","40","w_40_p_8","24","Retail Food Establishment","(41.990591264484515, -87.68952828959665)",5.19440639269406,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",31.7453554620999,34.0868104359107,15.3832279385372,44.7173103604243,0
"7-ELEVEN","1324421","1816833","Restaurant","Risk 1 (High)",2013-04-24,"Canvass",0,0.824657534246575,2012-05-16,2014-05-15,"833 W VAN BUREN ST 1","CHICAGO","IL","60607","2","w_2_p_6","12","Retail Food Establishment","(41.876543846685756, -87.64847222242669)",5.85205479452055,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",8.05091498534921,13.9348504129138,0.0611095240758612,0.0765411493498987,0
"7-ELEVEN","1324342","1915777","Grocery Store","Risk 1 (High)",2013-03-06,"Canvass",0,0.972602739726027,2012-05-16,2014-05-15,"1524 W TAYLOR ST","CHICAGO","IL","60607","2","w_2_p_29","12","Retail Food Establishment","(41.86939363940578, -87.66515238810635)",4.46312785388128,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",0.861194714301581,8.8620485836345,36.7770106481677,58.8040733400628,0
"7-ELEVEN","604488","1841004","Grocery Store","Risk 2 (Medium)",2011-11-01,"Canvass",0,1.45479452054795,2011-09-16,2013-09-15,"5320 N CUMBERLAND AVE","CHICAGO","IL","60656","41","w_41_p_48","16","Retail Food Establishment","(41.97626545131273, -87.83676599105188)",4.17534246575342,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",9.04556282152547,5.35792002114638,16.985600327196,1.61243667502983,0
"7-ELEVEN","577734","1356820","Grocery Store","Risk 2 (Medium)",2011-12-08,"Canvass",0,2,2011-10-16,2013-10-15,"4500 W 63RD ST","CHICAGO","IL","60629","13","w_13_p_34","8","Retail Food Establishment","(41.77862499314056, -87.73502936410594)",4.06301369863014,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",15.047950236806,12.7014922501317,9.17492720386777,18.5399529406927,0
"7-ELEVEN","1234633","12043","Grocery Store","Risk 2 (Medium)",2012-08-14,"Canvass",0,0.8,2012-02-16,2014-02-15,"2759 N HARLEM AVE","CHICAGO","IL","60707","36","w_36_p_15","25","Retail Food Establishment","(41.9307444173081, -87.80634529093028)",5.49577625570776,0,1,1,1,0,0,0,0,0,0,5,5,5,"mart",4.45778844989511,6.64635592007481,19.8920266461811,13.6139515302702,0
"7-ELEVEN","634889","1275723","Grocery Store","Risk 2 (Medium)",2011-10-07,"Canvass",0,2,2010-11-16,2012-11-15,"1400 N MILWAUKEE AVE","CHICAGO","IL","60622","1","w_1_p_10","14","Retail Food Establishment","(41.90725859639066, -87.67281319045203)",3.89303652968037,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",60.8947941929984,43.5326974382094,7.82205297940733,58.7485291222617,0
"7-ELEVEN","509383","1271535","Grocery Store","Risk 2 (Medium)",2011-10-24,"Canvass",0,1.22191780821918,2011-06-16,2013-06-15,"4353 W 55TH ST","CHICAGO","IL","60632","13","w_13_p_24","8","Retail Food Establishment","(41.793008028419656, -87.73264551503843)",4.19178082191781,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",27.5867650275612,11.2679153982484,26.5254735949494,34.4372545508207,0
"7-ELEVEN","1324246","33039","Grocery Store","Risk 2 (Medium)",2012-12-31,"Canvass",0,1.15068493150685,2012-09-16,2014-09-15,"200 N DEARBORN ST  1","CHICAGO","IL","60601","42","w_42_p_9","1","Retail Food Establishment","(41.88579631234916, -87.6296461541294)",5.12876712328767,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",30.1210189403214,21.3119526772178,0.0258121796441718,14.0605449119379,0
"7-ELEVEN","1098523","1648748","Grocery Store","Risk 2 (Medium)",2012-08-16,"Canvass",0,1.91506849315068,2010-12-16,2012-12-15,"3801 N WESTERN AVE","CHICAGO","IL","60618","47","w_47_p_51","19","Retail Food Establishment","(41.95042712587546, -87.6882158437937)",5.50125570776256,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",43.2897613297666,8.32719424065743,25.2719185581595,26.9314474916664,0
"7-ELEVEN","1196266","71784","Grocery Store","Risk 2 (Medium)",2012-04-24,"Canvass",0,2,2011-07-16,2013-07-15,"1750 W FOSTER AVE","CHICAGO","IL","60640","40","w_40_p_43","20","Retail Food Establishment","(41.9762169249346, -87.67413820381894)",4.69315068493151,0,1,0,1,0,0,0,0,0,0,5,5,5,"mart",21.521365317011,12.977141567296,5.30842047205315,8.47027402060933,0
"7-ELEVEN #18473","1301153","26047","Grocery Store","Risk 2 (Medium)",2013-01-07,"Canvass",0,1.14794520547945,2012-10-16,2014-10-15,"1404 W PRATT BLVD 1ST","CHICAGO","IL","60626","49","w_49_p_23","24","Retail Food Establishment","(42.005560716387, -87.66607079581269)",5.14794520547945,0,1,0,0,0,0,0,0,0,0,1,1,1,"mart",13.817482407248,29.6249041150415,0.240383259224676,27.0456114353353,0
"7 ELEVEN #26210J","664221","2041899","Grocery Store","Risk 2 (Medium)",2011-11-04,"Canvass",0,0.997260273972603,2010-11-16,2012-09-15,"2200 W DEVON AVE 1ST","CHICAGO","IL","60659","50","w_50_p_22","24","Retail Food Establishment","(41.99792158092283, -87.68507479988922)",0.967009132420091,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",25.6820650372461,23.5629055088772,22.6716387640158,21.1748465693809,0
"7-ELEVEN #33508C","1092553","2064170","Grocery Store","Risk 2 (Medium)",2013-08-16,"Canvass",0,0.657534246575342,2012-12-16,2014-12-15,"2181 N CLYBOURN AVE 1","CHICAGO","IL","60614","32","w_32_p_37","18","Retail Food Establishment","(41.921178383612904, -87.66357938528952)",2.69029680365297,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",20.1954164085912,19.8319144815399,24.0003103590804,48.8259247165888,0
"7-ELEVEN #33508C","1300961","2064170","Grocery Store","Risk 2 (Medium)",2012-12-18,"Canvass",0,2,2012-12-16,2014-12-15,"2181 N CLYBOURN AVE 1","CHICAGO","IL","60614","32","w_32_p_37","18","Retail Food Establishment","(41.921178383612904, -87.66357938528952)",2.03013698630137,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",30.6915163128845,26.3682392962454,7.36329673098583,41.2479051432735,0
"7-ELEVEN #33511C","1292358","1963529","Grocery Store","Risk 2 (Medium)",2013-02-28,"Canvass",0,1.54246575342466,2012-04-16,2014-04-15,"33 E ADAMS ST 1ST","CHICAGO","IL","60603","42","w_42_p_9","1","Retail Food Establishment","(41.87940125364803, -87.62648709958653)",3.87682648401826,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",26.7765322688272,13.3374715779442,0.0188070088394733,26.7844082128654,0
"7-ELEVEN #33779B","670858","1948248","Grocery Store","Risk 2 (Medium)",2012-02-27,"Canvass",0,1.47397260273973,2010-12-16,2012-12-15,"2900 W MONTROSE AVE 1ST","CHICAGO","IL","60618","33","w_33_p_24","17","Retail Food Establishment","(41.961343153284, -87.70097298218666)",2.97271689497717,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",18.1080014850821,12.7122530354897,22.430264291048,18.768835801661,0
"7-ELEVEN #33809B","670877","2021580","Grocery Store","Risk 1 (High)",2012-02-28,"Canvass",0,0.758904109589041,2010-10-16,2012-10-15,"6801 N SHERIDAN RD 1ST","CHICAGO","IL","60626","49","w_49_p_29","24","Retail Food Establishment","(42.00561787658474, -87.66078593720823)",1.87408675799087,0,1,0,0,0,0,0,0,0,0,1,1,1,"mart",13.1355990662202,36.8829376073013,10.7886447004884,34.8481026882068,1
"7 ELEVEN #33843","1327030","1947576","Grocery Store","Risk 2 (Medium)",2013-04-18,"Canvass",0,0.323287671232877,2012-06-16,2014-06-15,"4116 N CLARK ST 1ST","CHICAGO","IL","60613","47","w_47_p_24","19","Retail Food Establishment","(41.95699850100133, -87.66403716394323)",4.10958904109589,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",4.02253291489415,4.68645591064379,9.31553709862536,17.2473692816087,0
"7 ELEVEN #34133A","1235284","2069705","Grocery Store","Risk 2 (Medium)",2012-07-24,"Canvass",0,1.33698630136986,2011-03-25,2013-04-15,"1138 W WILSON AVE","CHICAGO","IL","60640","46","w_46_p_32","19","Retail Food Establishment","(41.96548980104739, -87.65907220826392)",1.33424657534247,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",24.6053299810794,27.6473717822464,0.661330504439331,44.9953353874138,1
"7 ELEVEN #34724H","1292227","2065000","Grocery Store","Risk 2 (Medium)",2012-10-05,"Canvass",0,0,2012-09-16,2014-09-15,"128 N LA SALLE ST 1ST","CHICAGO","IL","60602","42","w_42_p_9","1","Retail Food Establishment","(41.883970468541214, -87.63257344018365)",1.79166666666667,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",10.0507824493007,17.2878618104695,0.589221370965566,11.0507075279082,0
"7 ELEVEN #35632H","1322554","2134445","Grocery Store","Risk 2 (Medium)",2013-06-14,"Canvass",0,1.01917808219178,2012-09-16,2014-09-15,"2819-2821 N ASHLAND AVE 1ST","CHICAGO","IL","60657","32","w_32_p_10","19","Retail Food Establishment","(41.93301666690289, -87.66827260419502)",1,0,1,0,1,0,0,0,0,0,0,1,1,1,"mart",9.17457933860621,19.9645660878357,33.9511921645177,67.1999018271843,0
"ABACUS 1","679707","2079198","Restaurant","Risk 1 (High)",2012-03-08,"Canvass",0,1.07397260273973,2011-02-16,2013-03-15,"1550 W FULLERTON AVE 1 1","CHICAGO","IL","60614","32","w_32_p_13","19","Retail Food Establishment","(41.92526597195811, -87.66779312170318)",1.05753424657534,0,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",26.2844132773891,10.0728348312748,2.78402030937263,70.5179561788478,1
"ABRAM GALE","1286257","2017114","Restaurant","Risk 1 (High)",2013-02-11,"Canvass",0,0.284931506849315,2012-02-16,2014-02-15,"2366-2370 N NEVA AVE","CHICAGO","IL","60707","36","w_36_p_2","25","Retail Food Establishment","(41.923010423191435, -87.80453642340093)",2.45216894977169,1,0,0,0,0,0,0,0,0,0,1,1,1,"unknown",8.3312749588886,4.79028838029599,7.73398328446529,7.22935329215253,0
"ABYSSINIA RESTAURANT & FOOD MARKET","1234771","1273705","Restaurant","Risk 1 (High)",2012-08-21,"Canvass",0,1.48493150684931,2011-08-16,2013-08-15,"5842 N BROADWAY","CHICAGO","IL","60660","48","w_48_p_48","20","Retail Food Establishment","(41.98827210388373, -87.66035869613218)",5.01917808219178,1,0,1,0,0,0,0,0,0,0,1,1,1,"grocery",31.8287810933178,15.348822348011,10.3571599111868,36.2678747117754,0
"ADA FOODS","1227777","50473","Grocery Store","Risk 3 (Low)",2013-03-01,"Canvass",0,1.59178082191781,2011-06-16,2013-06-15,"1281 W 71ST ST 1ST","CHICAGO","IL","60636","17","w_17_p_20","7","Retail Food Establishment","(41.76489418140258, -87.657307804757)",5.5453196347032,0,1,1,0,0,0,0,0,0,0,1,1,1,"mart",32.3027258182187,53.6482883587814,35.6370925235769,14.8014645134925,0
"ADDISON & LARAMIE SHELL","1353868","1696761","Grocery Store","Risk 3 (Low)",2013-07-25,"Canvass",0,2,2011-08-16,2013-08-15,"5201 W ADDISON ST","CHICAGO","IL","60641","38","w_38_p_37","16","Retail Food Establishment","(41.94588917553282, -87.75704112300077)",5.94520547945205,0,1,0,0,0,0,0,0,0,1,1,1,1,"mart",7.97590859363363,9.72973477879909,29.8233290835325,18.5993074655869,0
"ADDISON OIL CO","1353838","64133","Grocery Store","Risk 3 (Low)",2013-07-24,"Canvass",0,2,2011-08-16,2013-08-15,"5200 W ADDISON ST","CHICAGO","IL","60641","38","w_38_p_30","16","Retail Food Establishment","(41.94610866384368, -87.75704702770967)",5.94246575342466,0,1,0,0,0,0,0,0,0,1,1,1,1,"unknown",8.21789292703966,9.20704317846122,29.0970774510457,19.3937319397138,0
"A & D FOOD MARKET INC","547710","1144262","Grocery Store","Risk 2 (Medium)",2011-09-27,"Canvass",0,2,2010-08-16,2012-08-15,"1456 S PULASKI RD 1ST","CHICAGO","IL","60623","24","w_24_p_36","10","Retail Food Establishment","(41.86084100268044, -87.7251616093027)",4.11780821917808,0,1,1,0,0,0,0,0,0,0,1,1,1,"grocery",29.6316602050726,20.410179465699,67.5997189118698,16.3817380299651,0
"ADOBO GRILL","1198714","80108","Restaurant","Risk 1 (High)",2013-02-26,"Canvass",0,0.693150684931507,2011-04-16,2013-04-15,"1610 N WELLS ST 1ST","CHICAGO","IL","60614","43","w_43_p_4","18","Retail Food Establishment","(41.911494367763304, -87.63486809549644)",5.78915525114155,1,0,0,0,0,0,0,0,0,0,1,1,1,"dinner",27.4391991936767,28.5835085952666,15.6045195727523,41.309676680169,1
"ADRIATIC","670508","2013391","Restaurant","Risk 1 (High)",2012-02-15,"Canvass",0,1.75890410958904,2011-07-16,2012-06-15,"5553-5557 N CLARK ST 1","CHICAGO","IL","60640","48","w_48_p_7","20","Retail Food Establishment","(41.98327949189041, -87.66856310731372)",1.75079908675799,1,0,0,0,1,0,0,0,0,0,1,1,1,"unknown",17.2280803223959,3.67937135433833,8.36858961221635,1.41598154428965,1
"ADRIATIC","1235931","2013391","Restaurant","Risk 1 (High)",2013-08-20,"Canvass",0,1.26575342465753,2012-06-16,2014-06-15,"5553-5557 N CLARK ST 1","CHICAGO","IL","60640","48","w_48_p_7","20","Retail Food Establishment","(41.98327949189041, -87.66856310731372)",3.26301369863014,1,0,0,0,1,0,0,0,0,0,1,1,1,"unknown",20.2686174436068,10.6844456383093,25.512311993713,32.3316034607364,1
